127.0.0.1 - - [17/Jun/2023:15:38:30 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:38:35 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:38:35 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:41:48 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:45:56 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:46:51 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:49:06 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:49:09 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:49:10 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:49:10 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:50:52 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:50:53 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:51:24 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:54:01 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:54:01 +0530] "GET /consume-rest/Images/Electronics.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:54:01 +0530] "GET /consume-rest/Images/Shoes.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:54:01 +0530] "GET /consume-rest/Images/Books.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:54:01 +0530] "GET /consume-rest/Images/pen.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:54:01 +0530] "GET /consume-rest/Images/ballpen.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:54:01 +0530] "GET /consume-rest/Images/mobile.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:54:01 +0530] "GET /consume-rest/Images/marker.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:54:01 +0530] "GET /consume-rest/Images/camera.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:47 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:47 +0530] "GET /consume-rest/Images/Electronics.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:47 +0530] "GET /consume-rest/Images/Shoes.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:47 +0530] "GET /consume-rest/Images/pen.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:47 +0530] "GET /consume-rest/Images/ballpen.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:47 +0530] "GET /consume-rest/Images/mobile.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:47 +0530] "GET /consume-rest/Images/Books.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:47 +0530] "GET /consume-rest/Images/marker.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:47 +0530] "GET /consume-rest/Images/camera.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/Electronics.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/Shoes.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/Books.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/pen.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/mobile.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/ballpen.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/marker.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/camera.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/Electronics.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/Shoes.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/pen.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/ballpen.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/mobile.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/Books.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/marker.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/camera.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/Electronics.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/Shoes.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/Books.jpg HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/ballpen.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/pen.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/mobile.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/marker.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/camera.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:55:49 +0530] "GET /consume-rest/Images/Electronics.jpg HTTP/1.1" 404 795
